OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SPIP,2023-174AU,2025-11-05T06:56:48.396192,15.24970768,.00084312,97.4091,23.0547,253.3027,106.7286,0,U,58298,999,11062,.25306057E-3,.6243E-4,0
AETHER-2,2023-174AV,2025-11-05T04:07:37.724160,15.30925194,.00069067,97.4103,27.4020,221.2690,138.8030,0,U,58299,999,11091,.27704262E-3,.8207E-4,0
ION SCV-013,2023-174AW,2025-11-05T07:13:09.912288,15.03824759,.01002958,97.6503,2.0957,236.0110,123.1556,0,U,58300,999,10787,.27664985E-3,.418E-4,0
IMPULSE-1 MIRA,2023-174AX,2025-11-05T05:34:53.133888,15.28489114,.00844,97.5409,26.0205,196.4775,163.3719,0,U,58301,999,11060,.55326919E-3,.17009E-3,0
ICEYE-X35,2023-174AY,2025-11-05T06:41:12.172704,15.35391927,.00117763,97.4027,25.4084,282.9525,77.0404,0,U,58302,999,11080,.78177703E-3,.26916E-3,0
FLOCK 4Q-25,2023-174AZ,2025-11-05T05:35:03.984000,15.45055467,.00060722,97.4032,30.9694,216.3555,143.7282,0,U,58303,999,11118,.69553991E-3,.32878E-3,0
FLOCK 4Q-29,2023-174BA,2025-11-05T04:42:52.647552,15.41284908,.00076941,97.4116,30.4965,222.2759,137.7895,0,U,58304,999,11109,.64074773E-3,.26669E-3,0
FLOCK 4Q-22,2023-174BC,2025-11-05T04:42:01.991232,15.42982488,.0007279,97.4025,30.4347,218.8475,141.2250,0,U,58306,999,11114,.70776006E-3,.31197E-3,0
FLOCK 4Q-23,2023-174BD,2025-11-05T04:22:09.280704,15.44104272,.00071869,97.4130,31.4229,224.1286,135.9389,0,U,58307,999,11115,.64001004E-3,.2928E-3,0
FLOCK 4Q-33,2023-174BE,2025-11-05T04:27:21.183840,15.42346412,.0007244,97.4050,30.4566,217.5353,142.5389,0,U,58308,999,11113,.58973403E-3,.25414E-3,0
FLOCK 4Q-35,2023-174BF,2025-11-05T04:01:15.557952,15.41658629,.00080733,97.4081,30.7193,231.8242,128.2278,0,U,58309,999,11112,.62659614E-3,.26405E-3,0
FLOCK 4Q-20,2023-174BK,2025-11-05T05:09:46.654848,15.46760419,.00076639,97.4105,32.6092,217.2012,142.8708,0,U,58313,999,11124,.7166695E-3,.35943E-3,0
FLOCK 4Q-34,2023-174BN,2025-11-05T04:53:48.553152,15.44099169,.00075674,97.4051,30.9543,223.4624,136.6029,0,U,58316,999,11116,.6899508E-3,.31579E-3,0
FLOCK 4Q-7,2023-174BQ,2025-11-05T04:56:59.852256,15.41094838,.00083707,97.4110,30.3802,219.1698,140.8943,0,U,58318,999,11109,.61694826E-3,.25515E-3,0
FLOCK 4Q-15,2023-174BR,2025-11-05T05:01:26.679648,15.43298783,.00074448,97.4108,31.8313,210.6350,149.4464,0,U,58319,999,11119,.55520132E-3,.24696E-3,0
FLOCK 4Q-2,2023-174BS,2025-11-05T06:10:15.244896,15.38484858,.00077001,97.4042,29.0040,219.7759,140.2922,0,U,58320,999,11104,.57942859E-3,.21976E-3,0
PROTOMETHEE,2023-174BT,2025-11-05T06:20:38.600160,15.27987747,.00070913,97.4013,23.9939,235.4750,124.5820,0,U,58321,999,11073,.34379038E-3,.9322E-4,0
FLOCK 4Q-9,2023-174BU,2025-11-05T04:23:30.087168,15.38050711,.00078361,97.4074,28.9840,222.1414,137.9230,0,U,58322,999,11102,.53929909E-3,.20157E-3,0
OBSERVER-1A,2023-174BV,2025-11-05T06:38:28.104288,15.32229707,.00082475,97.4157,26.9364,231.2582,128.7924,0,U,58323,999,11084,.5028677E-3,.156E-3,0
PICO-01A003,2023-174BY,2025-11-05T06:36:01.547424,15.36005903,.0006099,97.4024,27.0408,242.5768,117.4856,0,U,58326,999,11092,.54753958E-3,.1915E-3,0
FLOCK 4Q-4,2023-174BZ,2025-11-05T03:56:36.457440,15.37866181,.00067093,97.4037,28.4502,242.8623,117.1938,0,U,58327,999,11100,.50793387E-3,.18859E-3,0
FLOCK 4Q-13,2023-174CA,2025-11-05T04:18:48.825792,15.39829903,.00071518,97.4178,30.2163,239.3542,120.6999,0,U,58328,999,11106,.58425067E-3,.23156E-3,0
FLOCK 4Q-21,2023-174CB,2025-11-05T04:44:54.121632,15.45480734,.0006203,97.4115,31.9471,237.3389,122.7262,0,U,58329,999,11119,.66468984E-3,.31871E-3,0
BRO-10,2023-174CD,2025-11-05T07:19:44.520096,15.49514186,.00064944,97.3956,32.8977,195.2648,164.8408,0,U,58331,999,11133,.93274998E-3,.51594E-3,0
OUTPOST MISSION 2,2023-174CG,2025-11-05T06:08:43.265184,15.42162927,.00071121,97.4137,31.2628,206.3398,153.7488,0,U,58334,999,11114,.58869696E-3,.25213E-3,0
LEMUR-2-JK0903EM1407,2023-174CJ,2025-11-05T04:28:48.073728,15.40039438,.00063078,97.4072,30.2302,196.8473,163.2565,0,U,58336,999,11112,.50320155E-3,.20058E-3,0
LEMUR-2-MJR092620,2023-174CN,2025-11-05T05:34:50.232576,15.38416111,.00070692,97.4143,31.0884,195.4105,164.6926,0,U,58340,999,11114,.34819616E-3,.13126E-3,0
